Sheet: Sheet2
Rows: 345, Cols: 18

Row 1: ['A=提交日期', 'B=商家ID', 'C=商家名稱', 'D=收貨電話', 'E=收貨地址', 'F=大膠袋', 'G=小膠袋', 'H=單杯無紡布袋', 'I=雙杯無紡布袋', 'J=3號無紡布袋', 'K=4號無紡布袋', 'L=紙袋', 'M=紙漿杯2托', 'N=紙漿杯托-4托', 'O=飲品封口紙', 'P=雙杯裝紙袋', 'Q=單杯裝紙袋', 'R=調賬費用']
Row 46: ['A=2026-07-02 00:00:00', 'B=478121', 'C=麥當勞(麗晶商場)McDonalds', 'D=852-27590623', 'E=宏光道80號麗晶商場2樓218-1號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 47: ['A=2026-07-02 00:00:00', 'B=478243', 'C=麥當勞(健康邨)McDonalds', 'D=852-25639482', 'E=香港北角七姊妹道194號健康邨地下C舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 48: ['A=2026-07-02 00:00:00', 'B=478373', 'C=麥當勞(駿景廣場)McDonalds', 'D=852-26348734', 'E=新界沙田火炭駿景路1號駿景廣場地下G83A, G84-G85號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 49: ['A=2026-07-02 00:00:00', 'B=478523', 'C=麥當勞(新豐)McDonalds', 'D=852-26703509', 'E=新界上水石湖墟新豐路106-110號金城大廈地下', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 50: ['A=2026-07-02 00:00:00', 'B=478525', 'C=麥當勞(牛頭角道)McDonalds', 'D=852-23442756', 'E=九龍觀塘牛頭角道327-333號瓊林大廈地庫及地下部份', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 51: ['A=2026-07-02 00:00:00', 'B=484537', 'C=麥當勞（窩仔街）McDonalds', 'D=852-27840215', 'E=窩仔街1-13號仁寶大廈地下B2-B3號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 52: ['A=2026-07-02 00:00:00', 'B=484763', 'C=LeeLaksa(上環)招牌叻沙', 'D=852-22658999', 'E=上環皇后大道中302號地舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=2', 'K=1', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=740']
Row 53: ['A=2026-07-02 00:00:00', 'B=485058', 'C=麥當勞(彩雲II)McDonalds', 'D=852-27775288', 'E=九龍牛池灣清水灣道45號彩雲邨彩雲商場第二期地下上層A104及A115號店', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=5', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1000']
Row 54: ['A=2026-07-02 00:00:00', 'B=488205', 'C=麥當勞(博康)McDonalds', 'D=852-21445203', 'E=新界沙田博康邨博康商場2樓210號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 55: ['A=2026-07-02 00:00:00', 'B=488372', 'C=麥當勞(裕民坊)McDonalds', 'D=852-24404113', 'E=九龍觀塘協和街33號裕民坊商場1樓176舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=6', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1200']
Row 56: ['A=2026-07-02 00:00:00', 'B=488425', 'C=麥當勞(大埔昌運)McDonalds', 'D=852-26656612', 'E=新界大埔安慈路4號昌運中心57-66號地下', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=5', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1000']
Row 57: ['A=2026-07-02 00:00:00', 'B=491487', 'C=麥當勞(元朗南)McDonalds', 'D=852-24430738', 'E=新界元朗教育路9-13號興發大廈地下1&11舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=5', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1000']
Row 58: ['A=2026-07-02 00:00:00', 'B=491491', 'C=麥當勞(海悅豪園)McDonalds', 'D=852-22744106', 'E=新界將軍澳培成路十八號海悅豪園地下九號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
Row 59: ['A=2026-07-02 00:00:00', 'B=491516', 'C=麥當勞(竹園)McDonalds', 'D=852-23279998', 'E=九龍竹園南邨竹園商場S219A號舖平台部分', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
Row 60: ['A=2026-07-02 00:00:00', 'B=491642', 'C=麥當勞(頌安)McDonalds', 'D=852-26334380', 'E=新界馬鞍山頌安邨頌安商場6號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=5', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1000']
Row 61: ['A=2026-07-02 00:00:00', 'B=494395', 'C=麥當勞(海達邨)McDonalds', 'D=852-25595727', 'E=深旺道38號海達邨三期平台1樓3號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=6', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1200']
Row 62: ['A=2026-07-02 00:00:00', 'B=495013', 'C=銀杏館婆婆廚房健康有機', 'D=852-26631998', 'E=高超道38號大本型空中花園R01號舖', 'F=3', 'G=3', 'H=0', 'I=0', 'J=0', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=153']
Row 63: ['A=2026-07-02 00:00:00', 'B=496196', 'C=元氣壽司(黃埔花園)GenkiSushi', 'D=852-23302884', 'E=紅磡德康街6號黃埔花園第十一期地下G36舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=1', 'K=1', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=510']
Row 64: ['A=2026-07-02 00:00:00', 'B=560078', 'C=麥當勞(新港城II)McDonalds', 'D=852-26334460', 'E=新界沙田鞍祿街18號新港城中心二樓2138號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 65: ['A=2026-07-02 00:00:00', 'B=566661', 'C=麥當勞(軒尼詩)McDonalds', 'D=852-28939503', 'E=香港灣仔軒尼詩道302-308號集成中心地下G11-17號舖舆地下高層(部分)', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 66: ['A=2026-07-02 00:00:00', 'B=566730', 'C=翠湖海鮮酒家(元朗)', 'D=852-24883312', 'E=西菁街10號好順泰大廈1樓2號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=1', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=280']
Row 67: ['A=2026-07-02 00:00:00', 'B=571619', 'C=麥當勞(樂華)McDonalds', 'D=852-23051384', 'E=九龍牛頭角樂華(北)邨樂華商場310號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=4', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=800']
